Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,1.0160602249835966,1.0329947018080226,1.005899684004975,1.0126733779907227,269568,0.0,0.0
1962-01-03,1.0075930829801156,1.0075930829801156,0.9991258850839742,1.002512812614441,184704,0.0,0.0
1962-01-04,1.0025129254205385,1.0109800436494114,0.9821917610512173,0.9906588792800903,229632,0.0,0.0
1962-01-05,0.9906586570287155,0.9923520802945754,0.9483227529021828,0.9652572274208069,340704,0.0,0.0
1962-01-08,0.9652576410821839,0.9652576410821839,0.9347756867536233,0.9635642170906067,386880,0.0,0.0
1962-01-09,0.9635640498717222,0.9771114394532985,0.9567901132208486,0.9686443209648132,290784,0.0,0.0
1962-01-10,0.9686439174437059,0.9788044553971753,0.9652570714592161,0.9737241864204407,244608,0.0,0.0
1962-01-11,0.9737245479899653,0.975417971611023,0.9567900699193148,0.975417971611023,203424,0.0,0.0
1962-01-12,0.9754183022984971,0.9771117264936614,0.9584840603468541,0.9618709087371826,210912,0.0,0.0
1962-01-15,0.9635644711325271,0.9754184421988445,0.9635644711325271,0.9720315933227539,264576,0.0,0.0
1962-01-16,0.972031174347783,0.9838852209247099,0.9652574795152697,0.9804983735084534,173472,0.0,0.0
1962-01-17,0.978805022074255,0.978805022074255,0.9517099966517448,0.9584839344024658,267072,0.0,0.0
1962-01-18,0.958483778778631,0.9686443209648132,0.9567901132208486,0.9686443209648132,184704,0.0,0.0
1962-01-19,0.9686444582987218,0.9771115779876709,0.9686444582987218,0.9771115779876709,165984,0.0,0.0
1962-01-22,0.9788048691802961,0.9923523394653514,0.9788048691802961,0.9804983735084534,177216,0.0,0.0
1962-01-23,0.9771117264936614,0.9771117264936614,0.9584840603468541,0.9618709087371826,284544,0.0,0.0
1962-01-24,0.9618706320990131,0.9838852209247099,0.9584837846827565,0.9804983735084534,199680,0.0,0.0
1962-01-25,0.9804980702303175,0.987271762967658,0.9635637577669627,0.970337450504303,198432,0.0,0.0
1962-01-26,0.9703376809705397,0.9720311045570822,0.9635639866243699,0.9669508337974548,126048,0.0,0.0
1962-01-29,0.9669508972671162,0.9720311683602073,0.9652574735694192,0.9686443209648132,127296,0.0,0.0
1962-01-30,0.9804986222022276,0.9957394394410647,0.9804986222022276,0.9855788946151733,222144,0.0,0.0
1962-01-31,0.9855789918483824,1.016060709953308,0.9838855675436674,1.016060709953308,234624,0.0,0.0
1962-02-01,1.016061296880586,1.0211415727293494,0.9991269634312705,1.0092875957489014,320736,0.0,0.0
1962-02-02,1.0092864757376343,1.0143667459487915,1.0025127821227584,1.0143667459487915,184704,0.0,0.0
1962-02-05,1.0126736004825025,1.0126736004825025,0.9957392811775208,0.9957392811775208,175968,0.0,0.0
1962-02-06,0.9991263668697464,1.0092869931206385,0.9991263668697464,1.0059001445770264,129792,0.0,0.0
1962-02-07,1.0059001641250187,1.016060709953308,1.0025133155155888,1.016060709953308,210912,0.0,0.0
1962-02-08,1.016060012380026,1.0228337049484253,1.0143665892379263,1.0228337049484253,219648,0.0,0.0
1962-02-09,1.0228333921095336,1.0228333921095336,1.004205743243799,1.0177531242370605,188448,0.0,0.0
1962-02-12,1.0177531242370605,1.021139969485376,1.0126728563645875,1.0177531242370605,102336,0.0,0.0
1962-02-13,1.0194473448961607,1.029608130455017,1.0194473448961607,1.029608130455017,151008,0.0,0.0
1962-02-14,1.0296085622016269,1.0414625348208872,1.0279151375417326,1.0380756855010986,202176,0.0,0.0
1962-02-15,1.0397689975291629,1.0567033229137885,1.0397689975291629,1.0533164739608765,233376,0.0,0.0
1962-02-16,1.0533161015933454,1.0550095254711436,1.038075206073126,1.0465424060821533,292032,0.0,0.0
1962-02-19,1.0465428894206446,1.0516231634003275,1.0329954115214155,1.0380756855010986,194688,0.0,0.0
1962-02-20,1.0380758616996484,1.0380758616996484,1.0228347953134231,1.0363824367523193,133536,0.0,0.0
1962-02-21,1.0363820727039883,1.0414623457614358,1.0262215265890935,1.0329952239990234,134784,0.0,0.0
1962-02-23,1.03299448566103,1.0346879088031298,1.0211402818063255,1.0228337049484253,203424,0.0,0.0
1962-02-26,1.0228349980122704,1.0262220904384245,1.0008203887141915,1.0092875957489014,157248,0.0,0.0
